record_id,customer_name,customer_email,order_date,product,amount,region,status
30,Taylor Smith,jonesjason@example.com,15-Feb-2024,happy,799.21,US,
31,Sherry Wood,samueldaniels@example.com,07-24-2025,surface,4859.72,,complete
32,Aimee Montoya,sarah12@example.com,2024-01-27,both,4353.89,United States,
33,Brittney Campbell,jenniferharris@example.net,14/04/2026,mouth,772.67,,complete
34,Taylor Mathis Jr.,ccalderon@example.org,2024-09-22,case,2998.73,EMEA,Complete
35,Deborah Figueroa,hhoffman@example.org,07-24-2026,rock,4394.82,,COMPLETE
36,Kimberly Davenport,russellwilliams@example.com,2026-06-04,style,1211.95,emea,Complete
37,Amanda Howard,elizabethgomez@example.net,19-May-2026,investment,4081.96,,cancelled
38,Nicole Frost,michellecherry@example.org,16/05/2026,ago,650.67,EMEA,cancelled
39,Tim Patton,vpham@example.org,07-11-2024,store,2643.09,emea,Pending
40,Janet Williams,dwalker@example.com,22/08/2024,stuff,3567.62,EMEA,
41,Courtney Keller,emurphy@example.com,10-11-2024,Mr,2196.12,emea,Pending
42,William Herrera,wilsontara@example.org,20/06/2025,evidence,1131.24,United States,Complete
43,Kyle Reed,samuel81@example.com,04/06/2026,customer,2946.32,US,Complete
44,Michael Smith,michaeljones@example.net,2026-06-28,price,1152.42,US,COMPLETE
45,Ryan Cortez,william65@example.com,26/10/2025,once,1399.6,EMEA,complete
46,Jason Bentley,christinaturner@example.net,24/03/2026,fly,3619.53,emea,cancelled
47,Jeffrey Carpenter,steven73@example.net,22/02/2025,wear,3925.25,,Pending
48,Nancy Hopkins,zachary95@example.org,2026-03-07,society,493.68,EMEA,COMPLETE
49,Eric Drake,andrewsanchez@example.com,23-Jul-2025,special,2340.45,APAC,Complete
50,Jason Soto,jennifercruz@example.com,2024-06-16,reality,312.46,APAC,COMPLETE
51,Stephanie Dalton,osbornejeffery@example.net,12/04/2025,apply,966.03,emea,Pending
52,Sylvia Martinez,lauriecontreras@example.net,06-Jul-2025,someone,925.61,EMEA,complete
53,Lisa Ball,jrivas@example.com,02-Jun-2026,six,4042.03,,cancelled
54,Joanna Walton,katie87@example.net,2024-06-11,less,3264.2,emea,Complete
55,Dustin Nelson,patricia12@example.org,02/06/2024,rule,839.89,EMEA,Pending
56,Daniel Perry,amy60@example.org,23-Mar-2026,improve,4513.19,us,Pending
57,Lauren Dominguez,wwoods@example.com,26-Dec-2025,tonight,1333.36,,Pending
58,Sara Medina,tracynelson@example.com,24-Oct-2023,great,3485.99,APAC,cancelled
59,Rebecca Ramsey,ncalhoun@example.net,22-Oct-2023,indeed,782.44,United States,complete
60,Mary Miller,dtaylor@example.org,2023-11-17,hundred,3742.4,US,Complete
61,Jesse Rogers,aramirez@example.com,26-Mar-2026,many,2519.22,,cancelled
62,Joshua Cooke,jeffrey10@example.org,2026-07-29,decision,4804.29,US,complete
63,Lisa Allen,kcaldwell@example.org,2025-02-13,establish,3379.31,us,Pending
64,Carol Lawson,stricklandfrank@example.com,19/01/2024,agree,2898.81,US,cancelled
65,Laura Odonnell,tsanders@example.org,15-Dec-2023,rock,3290.29,emea,cancelled
66,Dana Terry,melissa91@example.net,01-27-2026,hand,1029.25,APAC,COMPLETE
67,Mary Jones,alexander67@example.org,01-10-2025,high,1984.97,APAC,
68,Sandra Zimmerman,hthompson@example.net,15-Jul-2024,system,1587.72,,Complete
69,Patricia Marshall,marcus31@example.com,16-May-2026,either,3109.58,emea,Complete
70,Laura Barnett,anthony52@example.com,12/05/2024,subject,2534.36,us,COMPLETE
71,Douglas Carlson,angela83@example.org,13/06/2024,investment,1853.94,us,Pending
72,Peter Vaughn DDS,bwest@example.org,08-10-2024,interview,3062.27,,
73,Elizabeth Perkins,wtran@example.com,2026-09-19,oil,3342.64,emea,COMPLETE
74,Michael Nelson,jerry35@example.org,2025-12-15,sound,4695.26,us,COMPLETE
75,Cheryl Rodgers,jenny89@example.com,2026-09-01,there,3714.66,us,COMPLETE
76,Darren White,ericksondavid@example.org,25/08/2026,on,3590.88,us,
77,Tony Little,agarcia@example.net,07-30-2024,measure,2531.99,United States,Complete
78,Cody Williams,ewilson@example.com,14-Mar-2025,part,4148.45,US,Complete
79,Amy Hernandez,christopher31@example.net,07/01/2026,police,3189.2,United States,complete
80,Lisa Rowe,chayes@example.com,22-Apr-2026,laugh,2762.89,EMEA,cancelled
81,Marc Lynch,mezajared@example.org,2024-07-09,beat,385.47,APAC,complete
82,Christopher Jones,ortizhannah@example.com,2024-08-07,each,4174.63,emea,cancelled
83,Douglas Heath,mcdanielsandra@example.net,30-Jun-2025,summer,645.95,United States,COMPLETE
84,Jessica Stephens,rebekahserrano@example.org,11-27-2023,structure,1058.28,us,
85,Paul Carroll,scott74@example.net,12-07-2024,expert,3902.78,,Pending
86,Katherine Miller,prestonjessica@example.net,23/06/2024,benefit,4629.56,us,complete
87,Michael Valencia,keyemily@example.com,15-Jun-2025,source,133.68,APAC,COMPLETE
88,Julie Pearson,howard96@example.net,03/03/2026,benefit,1341.36,,
89,Jason Morris,hodgemark@example.net,19-Mar-2025,recognize,4362.11,,Pending
90,Robin Pierce,qmiller@example.com,28/01/2024,spring,4084.77,EMEA,COMPLETE
91,Jose Travis,mgutierrez@example.net,23/10/2024,something,1122.39,APAC,complete
92,Mr. Anthony Adams Jr.,samuel71@example.org,08-24-2026,politics,1400.23,US,COMPLETE
93,Michelle Collins,tranchristopher@example.org,09-Feb-2025,buy,3400.8,,cancelled
94,Brittany Cantu,william46@example.com,2026-09-01,either,585.56,United States,complete
95,Charles Lee,michellehill@example.com,09-29-2024,store,200.9,emea,Pending
96,Samantha Campbell,mary97@example.org,01-24-2025,member,2187.61,emea,Complete
97,Juan Daniels,mcantu@example.net,10/06/2024,identify,1281.07,APAC,Pending
98,Reginald Williams,zthornton@example.com,19/11/2024,record,1827.47,US,
99,Marissa Hernandez,martineztammy@example.com,05-03-2026,two,3320.3,US,
100,Ariana Lozano,bowenrobert@example.net,08-21-2026,bad,3337.8,United States,Pending
101,Wayne Morgan,vsantos@example.net,04-21-2026,husband,2776.52,us,Pending
102,Lori Clay,cbrennan@example.net,06-Dec-2023,program,3389.82,us,cancelled
103,Donna Perez,hamiltoncorey@example.net,11-02-2025,black,2036.32,,Complete
104,Michael Berger,nguyenbrian@example.com,11-06-2024,child,1058.81,,cancelled
105,Jason Maldonado,georgemiller@example.com,08-02-2025,effect,2330.29,EMEA,
106,Mr. David Little MD,nolansteven@example.com,04-Oct-2025,coach,3970.74,,
107,Tony Huerta,danielle64@example.com,2026-04-06,decide,1426.09,APAC,
108,Dr. Ashley James MD,victoria40@example.net,11-29-2024,across,476.0,,complete
109,Melissa Garner,lozanojulie@example.com,01-20-2026,drug,1130.96,us,complete
110,Heather Fields,erica21@example.net,2025-08-31,for,1231.76,EMEA,cancelled
111,Amanda Diaz,christopherphillips@example.net,2024-12-21,deep,2282.53,APAC,cancelled
112,Joshua Mata,maria47@example.com,19-Dec-2025,ground,2476.94,us,complete
113,Julie Jones,michelleramsey@example.com,2026-08-18,summer,4464.37,,Complete
114,Ann Foster,amanda75@example.net,21-Dec-2025,everybody,1102.02,,
115,Samantha Bentley,leonardthomas@example.net,19-May-2026,option,260.59,us,Complete
116,Leonard Holland,tblankenship@example.net,13/12/2024,challenge,4009.07,APAC,cancelled
117,Andrew Ferrell,davispaige@example.org,11-21-2024,hospital,4750.7,EMEA,cancelled
118,Natalie Bautista,umatthews@example.org,20-May-2026,real,4154.54,emea,Pending
119,John Russell,antonio53@example.com,22-Jan-2025,eat,2255.85,,complete
120,Ariana Jennings,bruce43@example.org,07-29-2026,than,3831.41,emea,Pending
121,Matthew May,williamsmatthew@example.org,01/02/2026,describe,1380.24,US,
122,Phillip Clark,lisahall@example.org,03/02/2026,pick,1365.86,United States,cancelled
123,Scott Thomas,amberlindsey@example.org,16/09/2025,agree,762.64,EMEA,
124,Hunter Kramer,alfred40@example.org,13/12/2025,never,330.5,EMEA,COMPLETE
125,Arthur West,william17@example.net,22-May-2024,possible,2084.71,us,Pending
126,Richard Camacho,stephen00@example.com,2026-04-08,last,4285.09,,cancelled
127,Katherine Browning,lammarc@example.org,03-Dec-2023,face,39.42,United States,COMPLETE
128,Lauren Joseph,hvang@example.com,01-Feb-2025,point,4268.71,,Pending
129,Ricky Wilson,russellbeasley@example.com,28/09/2024,long,2446.27,United States,Pending
130,Nicholas Edwards,elizabeth52@example.net,2026-06-30,audience,1950.4,APAC,
131,Bradley Reynolds,lisa80@example.net,06/08/2026,or,4204.12,us,cancelled
132,Bryan Gomez,uparrish@example.org,2026-08-19,plan,4535.58,emea,cancelled
133,Brian Romero,dianewalker@example.org,2024-10-10,only,428.9,EMEA,complete
134,Phillip Andrews,xbruce@example.net,26/07/2025,question,260.92,EMEA,COMPLETE
135,Lisa Barrett,anthony44@example.com,11-Oct-2024,course,1640.96,,Pending
136,Kylie Morales,joycebonilla@example.org,18-Dec-2025,dinner,1268.83,US,Pending
137,Jesse Moore,jennifer99@example.org,2026-05-18,clearly,4999.54,United States,complete
138,Luke Craig,scott67@example.net,2025-01-19,explain,3908.35,APAC,Complete
139,Jose Reed,campbellerika@example.com,2025-04-22,foot,4748.56,us,Complete
140,James Greene,harrissierra@example.org,07/01/2026,figure,1200.34,EMEA,
141,Adam Burgess,davidpatel@example.org,24/03/2025,these,2330.52,United States,COMPLETE
142,Heather Sanders,grahamsteve@example.org,2026-04-24,parent,3891.18,us,COMPLETE
143,Jared Bowman,darius05@example.org,2026-02-17,prepare,4645.15,emea,
144,Michael Cox,prichard@example.com,29-Jun-2025,need,4707.94,us,Complete
145,Seth Reese,masonjackson@example.net,17/08/2025,nice,518.49,,COMPLETE
146,Susan Bailey,joelthomas@example.org,2024-03-31,claim,3983.17,emea,Complete
147,Mary Thompson,kmarshall@example.net,27-Jan-2025,window,3310.99,US,cancelled
148,Maria Downs,michelle52@example.com,12-06-2023,letter,73.13,EMEA,Pending
149,Rebecca Vargas,william47@example.com,03-Nov-2023,home,4804.33,APAC,Pending
150,Angela Lin,gilbertwilliam@example.com,20/06/2025,strong,2183.08,APAC,cancelled
151,Amanda Stout,marcalvarez@example.org,08-07-2026,little,3083.4,emea,Pending
152,Steven Cooper,wagnergerald@example.org,06-Nov-2025,leg,4130.42,emea,COMPLETE
153,Lisa Cox,paul59@example.org,03/02/2026,radio,4155.35,US,COMPLETE
154,Gary Grant,umitchell@example.net,14/08/2026,player,3754.88,emea,cancelled
155,Felicia Aguilar,sabrinacollins@example.net,27-Oct-2025,including,1688.62,EMEA,COMPLETE
156,Michael Miller,vschneider@example.org,26-Sep-2025,them,1068.48,,COMPLETE
157,Yolanda Gaines,lucasrodney@example.com,10-12-2023,for,4402.8,APAC,COMPLETE
158,Daniel Meza,ilee@example.org,2023-12-16,three,2587.97,us,Complete
159,Katie Fernandez,stanleynancy@example.net,13-Feb-2024,however,2448.0,,complete
160,Christopher Schwartz,jenniferwilliams@example.com,03-Oct-2025,economy,3233.06,EMEA,Pending
161,Lisa Goodwin,pyoung@example.com,2026-08-16,still,1478.24,EMEA,
162,Russell Richardson,smurray@example.com,03-27-2025,kid,3323.16,United States,Pending
163,Ruth Solis,moniquewilliams@example.com,05-08-2026,once,2133.26,APAC,cancelled
164,Michelle Black,mitchellkathryn@example.com,01-27-2025,must,3517.25,United States,COMPLETE
165,Jeffrey Potts,lisawilkerson@example.org,20/12/2024,individual,612.07,us,COMPLETE
166,Cynthia Vang,jeffrey51@example.net,04/09/2025,strong,965.79,APAC,Pending
167,Andrew Lowery,ihorton@example.net,02-18-2025,power,4902.75,,complete
168,Bobby Scott,anaacosta@example.net,29/12/2024,stand,1810.8,United States,Complete
169,Eric Williams,nfowler@example.com,30/11/2023,think,1378.81,US,cancelled
170,Linda Smith,jennifercarter@example.org,27/07/2025,effect,3192.97,,Pending
171,Chelsea Barnett,carlos88@example.net,2026-01-31,movement,2874.58,EMEA,Pending
172,Jeanette Harrison,qzavala@example.net,10-10-2023,story,929.97,US,COMPLETE
173,David Sandoval,ingramjill@example.com,2024-02-16,he,4112.36,EMEA,Pending
174,Robin Thompson,epollard@example.net,2024-04-09,central,767.12,,cancelled
175,Ricardo Ellis,james30@example.com,2026-07-11,myself,4969.65,US,cancelled
176,Robert Kennedy,mullinsjames@example.com,24-Apr-2026,anyone,3035.53,,cancelled
177,Evelyn Martinez,samuel67@example.com,28-Sep-2024,culture,2258.07,EMEA,COMPLETE
178,Jonathan Glass MD,acostachristian@example.net,17-Sep-2026,couple,1533.85,emea,Complete
179,Erica Miller,kirk96@example.org,2025-10-17,have,4738.48,us,
180,Nicholas Buck,yhill@example.org,12-14-2023,public,3305.54,us,complete
181,Jose Brady,stephaniethomas@example.net,2025-10-05,left,791.1,EMEA,Pending
182,Austin Osborne,michael90@example.net,09-Mar-2024,listen,1463.38,us,COMPLETE
183,Jacqueline Hines,alyssasanders@example.net,07-24-2024,build,3517.91,EMEA,Complete
184,Cody Holmes,greenjorge@example.com,15/05/2024,population,4620.32,,
185,Thomas Henry,taylorcharles@example.org,03/06/2026,light,2131.44,emea,complete
186,Rita Ponce DVM,jenna88@example.com,26/05/2026,today,4542.97,,complete
187,Michael Graves,laurahicks@example.org,2026-09-06,structure,837.95,United States,cancelled
188,Richard Johnson,tanner82@example.net,05-19-2026,attorney,2201.38,EMEA,
189,Zachary Higgins,khammond@example.org,07-Feb-2024,free,4713.95,emea,cancelled
190,Joanna Frazier,david89@example.org,11-Jan-2026,carry,411.4,US,Pending
191,Thomas Brown,holmeskevin@example.org,09-10-2024,security,3022.53,US,Complete
192,Travis Stone,meghan43@example.net,2026-08-06,face,4997.87,APAC,COMPLETE
193,Eric Ferguson,brittanycarpenter@example.org,2025-09-13,service,3817.91,us,Pending
194,Gail Bradshaw,bryananthony@example.org,28-Jul-2026,spend,4581.2,us,cancelled
195,Marilyn Wang,bmontgomery@example.com,24-May-2026,offer,4845.59,EMEA,COMPLETE
196,Tyler Webb,eevans@example.net,11-27-2023,less,1612.08,US,complete
197,John Peterson,larryhiggins@example.net,09-Sep-2026,hair,3471.43,United States,
198,Bianca Wood,floressteven@example.com,2025-01-27,chance,2279.58,United States,COMPLETE
199,Dylan Cruz,kwright@example.com,2026-07-12,set,4851.22,EMEA,cancelled
200,Phillip Jimenez,tjimenez@example.com,18-Oct-2023,you,2072.11,us,cancelled
201,Jim Allen,brandon47@example.net,17-May-2026,ready,3130.79,,Complete
202,Donna Smith,jordannicole@example.net,10-27-2024,interesting,2750.61,United States,Pending
203,James Hudson,michaelroberts@example.com,28-Mar-2025,south,615.92,APAC,cancelled
204,Samantha Hanson,andersoncolin@example.com,10/02/2026,group,1560.64,US,cancelled
205,Holly Thomas,cporter@example.org,2024-02-20,goal,1131.26,,Complete
206,Kelly Hernandez,markaustin@example.org,2024-11-26,practice,3242.07,us,Pending
207,Elizabeth Rogers,terickson@example.com,03-05-2026,home,2549.27,United States,Pending
208,Brian Butler,laura09@example.com,10-Jul-2024,reality,1226.22,emea,complete
209,Paula Lane,silvageorge@example.net,21/11/2025,stage,4610.12,emea,
210,Brittany Becker,armstrongjackie@example.org,2023-10-13,former,1388.47,,Pending
211,Jason Harris,vsalas@example.net,11-30-2023,certainly,4104.54,United States,
212,Kristina Bolton,ufox@example.org,07-Feb-2025,no,4327.65,EMEA,cancelled
213,Hector Ingram,chelsea33@example.com,05-26-2025,down,1668.88,,cancelled
214,Vickie Wise,hannahburns@example.com,09-Oct-2024,world,4664.93,,complete
215,Mikayla Roberts,zhuang@example.com,04/08/2026,summer,2863.27,us,Pending
216,Andrew Moses,reedscott@example.com,12-20-2025,difficult,3726.08,APAC,Pending
217,Joshua Fitzpatrick,derrick99@example.org,14/06/2024,relationship,2481.69,US,complete
218,Courtney Hall,gutierrezjennifer@example.org,10-08-2025,certain,4349.8,,Pending
219,Joshua Hickman,edelgado@example.com,04-Sep-2025,something,86.58,us,Pending
220,Erica Brewer,pearsonjesse@example.net,23/11/2025,write,383.39,,COMPLETE
221,Thomas Butler,sarahjohnson@example.com,02-Feb-2026,cultural,3252.68,,COMPLETE
222,Tonya Howe,smithashley@example.org,06-Jul-2026,government,4771.16,APAC,
223,William Daniels,ismall@example.net,16-Feb-2025,data,4363.19,US,cancelled
224,Erin Simon,jennifer05@example.com,06/06/2025,sometimes,3159.49,United States,complete
225,Levi Fowler,gwilcox@example.com,2023-12-27,relationship,2175.52,US,
226,William Woods,adamreyes@example.com,2025-12-27,girl,2223.96,APAC,COMPLETE
227,Nathan Smith,heather01@example.com,2024-08-24,into,1628.63,US,COMPLETE
228,Tammy Barron,hannah45@example.net,05-22-2024,cell,2159.13,us,cancelled
229,Jesse Zhang,robert87@example.net,17/02/2026,that,858.22,US,cancelled
230,David Fischer,foxallison@example.com,17/12/2023,organization,2493.36,emea,complete
231,Ronald Leach,ashleyhernandez@example.com,16-Apr-2026,letter,3193.14,EMEA,COMPLETE
232,Daniel Aguilar,nolansean@example.org,2025-01-31,must,4495.55,EMEA,COMPLETE
233,Justin Hansen,jennifer64@example.org,18/12/2025,particular,378.57,United States,cancelled
234,Jeff Graves,michaelcesar@example.com,27-Oct-2023,issue,3454.66,EMEA,COMPLETE
235,Chad May,ybrooks@example.com,03-May-2026,what,4268.14,US,complete
236,Bobby Brandt,desireebailey@example.org,09-15-2026,increase,2878.31,APAC,COMPLETE
237,Monica Walker,avilatiffany@example.com,30-Sep-2025,off,1379.66,emea,
238,James Hall,rreed@example.org,2026-07-16,share,4553.98,APAC,Pending
239,Amanda Keller,allencarlos@example.net,29/10/2023,piece,3039.25,United States,complete
240,Shelby Sanchez,moralesjimmy@example.org,27/12/2025,stand,3108.25,APAC,
241,Jonathan Roberts,barbara53@example.com,10/05/2026,recent,3144.96,APAC,
242,Jennifer Hill,conniesimmons@example.com,11-13-2023,guy,3945.17,US,cancelled
243,Megan Floyd,heather62@example.com,08/11/2024,somebody,459.77,United States,COMPLETE
244,Daisy Perez,lindamelendez@example.net,18-Dec-2024,keep,886.44,us,cancelled
245,Brandi Sanchez,markmiller@example.com,04-08-2026,best,4154.06,United States,Pending
246,Sandra Williams,mnunez@example.org,05-07-2026,cup,4023.12,EMEA,Complete
247,Laurie Powers,timothybooth@example.com,20/08/2024,when,4302.1,APAC,
248,Timothy Hayden,burgesskaren@example.org,10-24-2025,score,460.61,EMEA,Complete
249,Thomas Arnold,oscar85@example.com,2024-07-05,must,2279.38,APAC,
250,Julie Lang,ugill@example.org,11-02-2024,job,2926.95,,
251,Sean Figueroa,greensarah@example.net,2025-11-20,find,3377.43,EMEA,Complete
252,Gary James,victorpena@example.net,09-26-2024,source,4577.13,us,
253,Tracy May,umurray@example.com,26-Mar-2024,service,4547.84,United States,
254,Catherine Preston,warrenmary@example.org,2026-07-24,relate,707.49,US,COMPLETE
255,Aaron Taylor,carloshernandez@example.org,2025-03-30,hour,494.99,emea,complete
256,Mark Peck,bhopkins@example.org,28-Apr-2025,its,1861.35,APAC,
257,Joseph Hill,andre62@example.org,25-Jun-2026,need,2940.83,APAC,complete
258,Corey Fox,joseph61@example.com,2026-08-09,machine,4170.13,emea,Pending
259,Wanda Perez,valdezmichele@example.org,2024-01-03,hundred,3454.5,us,Pending
260,John Walsh,christopherbruce@example.net,29/01/2026,others,4278.7,US,
261,Valerie Jacobson,hallrachel@example.net,05-22-2026,may,312.14,United States,complete
262,Thomas Cohen,rachel90@example.org,06-Jul-2026,forward,467.45,us,
263,Daniel Thomas,thickman@example.org,2025-06-02,our,262.39,United States,complete
264,Jasmine Mosley,patrick21@example.net,18/12/2025,half,352.36,,cancelled
265,Jeffrey Roberson,cassie99@example.com,19/08/2026,general,4067.13,us,COMPLETE
266,Donald Riddle,jperez@example.com,08/01/2025,response,3945.33,emea,Complete
267,Jamie Barton,lauren11@example.com,10/03/2024,seek,4937.76,emea,COMPLETE
268,Brittany Price,daniel04@example.com,2024-10-21,expect,3308.68,US,complete
269,Brandon Jordan,fgarcia@example.com,05-22-2025,picture,3952.02,us,cancelled
270,Erika Cruz,robert18@example.org,2025-06-10,condition,879.49,US,complete
271,Caroline Adams,trevor12@example.com,21-Jul-2024,firm,2635.17,APAC,Complete
272,Mr. David Wright,mwheeler@example.com,18-Jan-2024,fly,3892.31,emea,cancelled
273,James Skinner,vbrock@example.com,23-Sep-2024,team,2524.16,emea,Complete
274,Marilyn Wheeler,malik37@example.com,04-04-2024,information,2295.63,US,Complete
275,Doris Neal,yfaulkner@example.org,14-Sep-2024,fast,2137.11,US,Pending
276,Jenna Wilson,brittanygardner@example.net,11-Jan-2026,agreement,376.72,US,COMPLETE
277,Julia Erickson,ssalinas@example.org,08/03/2026,stuff,337.75,United States,cancelled
278,Megan Taylor,john26@example.com,12-13-2023,piece,1910.71,emea,cancelled
279,James Hunter,ystephens@example.com,30-Oct-2025,task,2532.7,EMEA,Complete
280,Margaret Miller,dianekelly@example.net,2025-07-25,order,4265.44,APAC,cancelled
281,Miss Jennifer Goodwin,grodriguez@example.com,23/05/2024,skin,2156.05,us,Pending
282,Lauren Johnston,dbrooks@example.net,29-Jun-2025,month,1999.66,APAC,Complete
283,Zachary Webb,robert11@example.net,25-Feb-2024,forget,1569.49,United States,COMPLETE
284,Richard Boyd,thomas77@example.com,05-Dec-2023,another,345.0,,Complete
285,Ashley Sweeney,byrdfrank@example.net,16-Jun-2024,contain,491.86,APAC,COMPLETE
286,Erin Simmons,zhall@example.net,2024-04-12,push,2936.46,emea,cancelled
287,Jennifer Mclaughlin,shannonjordan@example.org,2025-11-03,describe,2059.94,,
288,Michael Flynn,lloydamanda@example.com,14-Sep-2024,lot,4341.78,APAC,Complete
289,Michael Burns,candice96@example.net,01-26-2024,he,1764.71,emea,cancelled
290,Lisa Cervantes,samantha91@example.net,16/02/2024,buy,3287.11,us,Complete
291,Bruce Brooks,williambarnes@example.org,06-13-2025,land,583.28,United States,cancelled
292,Mark Steele,angelaburns@example.org,15-Apr-2024,thousand,4227.32,,cancelled
293,Anthony Howard,washingtonjames@example.com,2026-08-14,mouth,3048.88,APAC,
294,Jennifer Vasquez,fburns@example.net,2023-10-26,sort,910.28,APAC,COMPLETE
295,Andrew Walker,gary79@example.net,01-16-2026,mission,40.47,,complete
296,Ashley Wilson,amber07@example.net,19-May-2024,large,357.23,APAC,
297,Ronald Potter,nancy07@example.com,2024-10-09,technology,3733.1,us,Pending
298,Sean Wilson,jasonrojas@example.net,11-Oct-2024,see,1711.07,United States,COMPLETE
299,Jessica Jensen,lisatrujillo@example.net,10-11-2024,fast,3886.41,emea,cancelled
300,Caroline Werner,keith48@example.net,2026-03-04,central,786.34,,cancelled
301,Rachel Sellers,michelle22@example.org,2024-03-01,fund,1367.79,APAC,Pending
302,Pam Lowe,othomas@example.com,11-Aug-2025,how,2076.78,us,cancelled
303,Mark Beard,powellkara@example.net,07-15-2026,home,2155.27,United States,
304,John Perkins,simonstephen@example.net,26-Oct-2025,to,2639.4,United States,Complete
305,Joseph Robinson,fsummers@example.com,10-Sep-2024,federal,4922.38,US,Complete
306,Kenneth Knight,rkramer@example.org,11-12-2023,produce,4727.17,,complete
307,Julia Martinez,scottsmith@example.com,05-01-2024,risk,1454.34,US,Complete
308,Sonia Turner,clarence54@example.org,03-Nov-2024,well,886.72,EMEA,cancelled
309,Amber Garrett,rubendavis@example.org,24/09/2023,me,2506.31,,
310,Kevin Stone,ssmith@example.com,2026-03-06,trade,1991.39,APAC,Complete
311,Carlos Jones,zdavis@example.org,2024-01-14,hold,2304.17,US,COMPLETE
312,Breanna Ayala,darlenebyrd@example.org,26-Apr-2025,across,2871.26,APAC,
313,Carly Bell,courtneyhernandez@example.com,07-29-2025,level,584.72,US,COMPLETE
314,Angelica Garcia,lawrencepatrick@example.com,01-Sep-2024,challenge,4161.81,United States,Complete
315,Matthew Wright,kimberly04@example.org,2025-04-12,Mr,1224.15,emea,Pending
316,James Lucas,troyrodriguez@example.com,2025-08-22,avoid,1984.88,United States,
317,Vanessa Hatfield,david96@example.com,13/05/2025,consider,1672.01,us,Complete
318,Tiffany Townsend,matthewsalexander@example.org,2023-11-05,as,2657.72,us,COMPLETE
319,Jennifer Mitchell,zhenderson@example.org,25/08/2025,note,1188.98,us,COMPLETE
320,Diamond Collins,terrimoore@example.com,24/11/2024,protect,3015.97,,
321,Marie Day,holly30@example.org,26/12/2023,leader,4756.95,APAC,Pending
322,Logan Brown,davidzimmerman@example.net,05-Oct-2023,model,3408.86,emea,
323,Kelly Logan,gary24@example.net,05-21-2026,spend,4322.59,APAC,COMPLETE
324,Frances Patterson,bakertheresa@example.net,16-Dec-2023,lose,350.75,EMEA,
325,Amy Villarreal,michaelscott@example.org,05-30-2026,represent,2961.18,United States,cancelled
326,Crystal Hicks,trevinoalexander@example.org,02-21-2025,identify,2314.1,US,Complete
327,Cassidy Horne,tranrobin@example.net,09-10-2025,door,392.89,,Complete
328,Jason Cortez,margaret95@example.org,26-Mar-2025,week,2318.93,emea,
329,Daniel Black,finleycasey@example.com,29-Apr-2026,staff,4546.16,emea,
330,Erin Tran,woodkelly@example.com,12-11-2025,eight,3028.98,emea,complete
